epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.629941,1.55849,4.51723,1.12716,0,0,0,0,1.55926,4.3871,0.90262,2e-05,2e-05,2e-05
2,1.39549,1.56553,4.50968,0.97979,0,0,0,0,1.51731,4.38286,0.89817,4.9505e-05,4.9505e-05,4.9505e-05
3,2.06147,1.80211,4.44674,1.05898,0,0,0,0,1.39844,4.37276,0.88819,7.8416e-05,7.8416e-05,7.8416e-05
4,2.75301,1.59863,4.42142,1.04299,0.00092,0.00926,0.00154,0.00108,1.24237,4.35889,0.87431,0.000106733,0.000106733,0.000106733
5,3.40767,1.75649,4.42053,1.0143,0.00092,0.00926,0.00154,0.00108,1.24237,4.35889,0.87431,0.000134456,0.000134456,0.000134456
6,4.06447,1.99101,4.35646,1.01397,0.00095,0.00926,0.00483,0.00387,1.24217,4.33499,0.86129,0.000161585,0.000161585,0.000161585
7,4.68998,1.4172,4.28252,0.95355,0.00095,0.00926,0.00483,0.00387,1.24217,4.33499,0.86129,0.00018812,0.00018812,0.00018812
8,5.32255,1.4506,4.24784,0.9938,0.00095,0.00926,0.00483,0.00387,1.24217,4.33499,0.86129,0.000214061,0.000214061,0.000214061
9,5.98518,1.4507,4.18623,0.93816,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.000239408,0.000239408,0.000239408
10,6.63317,1.44003,4.17289,0.92898,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.000264161,0.000264161,0.000264161
11,7.27342,1.43784,4.06227,0.9007,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.00028832,0.00028832,0.00028832
12,7.91718,1.71868,4.20766,0.93142,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.000311885,0.000311885,0.000311885
13,8.54162,1.72723,3.95792,0.98147,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000334856,0.000334856,0.000334856
14,9.15972,1.57302,3.83758,0.95351,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000357233,0.000357233,0.000357233
15,9.77974,1.56517,3.83677,0.93162,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000379016,0.000379016,0.000379016
16,10.4185,1.77118,3.88193,0.89378,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000400205,0.000400205,0.000400205
17,11.0704,1.75829,3.97874,0.90836,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.0004208,0.0004208,0.0004208
18,11.7657,1.63225,3.95564,0.91365,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000440801,0.000440801,0.000440801
19,12.4287,1.66798,3.36502,0.88959,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000460208,0.000460208,0.000460208
20,13.096,1.64266,3.69515,0.871,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000479021,0.000479021,0.000479021
21,13.7526,1.53105,3.49018,0.93749,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.00049724,0.00049724,0.00049724
22,14.3766,1.4882,3.49912,0.87405,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000514865,0.000514865,0.000514865
23,15.033,1.49771,3.53571,0.87046,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000531896,0.000531896,0.000531896
24,15.8014,1.45358,3.65189,0.87732,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000548333,0.000548333,0.000548333
25,16.458,1.5344,3.66941,0.87504,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000564176,0.000564176,0.000564176
26,17.1029,1.36195,3.23747,0.91879,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000579425,0.000579425,0.000579425
27,17.7828,1.38271,3.02434,0.87021,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.00059408,0.00059408,0.00059408
28,18.4257,1.54163,3.03103,0.8609,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000608141,0.000608141,0.000608141
29,19.0739,1.57598,3.13333,0.88942,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000621608,0.000621608,0.000621608
30,19.6906,1.39762,3.01178,0.90028,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000634481,0.000634481,0.000634481
31,20.3331,1.33866,3.16974,0.8578,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.00064676,0.00064676,0.00064676
32,20.9715,1.68224,3.04448,0.86964,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000658445,0.000658445,0.000658445
33,21.6259,1.60873,3.06525,0.88362,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000669536,0.000669536,0.000669536
34,22.2505,1.49479,3.11297,0.86661,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.0006733,0.0006733,0.0006733
35,22.869,1.53327,3.17656,0.90737,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.0006634,0.0006634,0.0006634
36,23.4971,1.4698,2.99744,0.86599,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.0006535,0.0006535,0.0006535
37,24.1662,1.23325,3.13707,0.84958,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006436,0.0006436,0.0006436
38,24.8174,1.81037,2.91943,0.91626,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006337,0.0006337,0.0006337
39,25.4704,1.84527,2.71501,0.85838,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006238,0.0006238,0.0006238
40,26.0895,1.42446,2.43951,0.88295,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006139,0.0006139,0.0006139
41,26.7146,1.33902,2.42502,0.84851,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.000604,0.000604,0.000604
42,27.3367,1.52191,2.46704,0.90276,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005941,0.0005941,0.0005941
43,28.0359,1.67009,2.66945,0.88446,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005842,0.0005842,0.0005842
44,28.6704,1.81048,2.67968,0.88386,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005743,0.0005743,0.0005743
45,29.3024,1.52658,2.52441,0.86846,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005644,0.0005644,0.0005644
46,29.9136,1.44136,2.45224,0.87461,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005545,0.0005545,0.0005545
47,30.5599,1.50152,2.29882,0.88899,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005446,0.0005446,0.0005446
48,31.2179,1.60382,2.88949,0.88484,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0005347,0.0005347,0.0005347
49,31.8593,1.79314,2.72975,0.86136,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0005248,0.0005248,0.0005248
50,32.4797,1.25292,2.36102,0.86548,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0005149,0.0005149,0.0005149
51,33.1122,1.38007,2.33141,0.87349,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.000505,0.000505,0.000505
52,33.7637,1.97733,2.23151,0.86579,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004951,0.0004951,0.0004951
53,34.3949,1.47328,2.06975,0.88141,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004852,0.0004852,0.0004852
54,34.996,1.41911,2.47846,0.91259,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004753,0.0004753,0.0004753
55,35.6369,1.63721,2.56869,0.85358,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004654,0.0004654,0.0004654
56,36.2568,1.60186,2.512,0.8609,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004555,0.0004555,0.0004555
57,36.8907,1.47598,2.33557,0.85458,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004456,0.0004456,0.0004456
58,37.4968,1.76813,2.81147,0.8734,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004357,0.0004357,0.0004357
59,38.154,1.35768,2.37825,0.8687,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0004258,0.0004258,0.0004258
60,38.7939,1.58793,2.65112,0.82192,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0004159,0.0004159,0.0004159
61,39.4016,1.33325,2.18736,0.87386,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.000406,0.000406,0.000406
62,40.0336,1.30783,2.20748,0.86493,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003961,0.0003961,0.0003961
63,40.7045,1.58089,2.52769,0.85096,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003862,0.0003862,0.0003862
64,41.4286,1.66371,2.74595,0.88533,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003763,0.0003763,0.0003763
65,42.0659,1.52162,2.08167,0.85139,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003664,0.0003664,0.0003664
66,42.6938,1.77251,2.72019,0.83975,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003565,0.0003565,0.0003565
67,43.3361,1.46386,1.94638,0.83882,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003466,0.0003466,0.0003466
68,43.9605,1.59644,2.19589,0.85858,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003367,0.0003367,0.0003367
69,44.6248,1.29303,2.41755,0.83536,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0003268,0.0003268,0.0003268
70,45.2467,1.52767,2.21999,0.86928,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0003169,0.0003169,0.0003169
71,45.8948,1.63551,1.95046,0.91255,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.000307,0.000307,0.000307
72,46.5327,1.5576,2.55036,0.91959,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002971,0.0002971,0.0002971
73,47.1451,1.40933,2.54815,0.87026,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002872,0.0002872,0.0002872
74,47.7743,1.85464,1.98983,0.86896,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002773,0.0002773,0.0002773
75,48.4337,1.31584,2.07275,0.8384,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002674,0.0002674,0.0002674
76,49.0578,1.43559,2.10555,0.86165,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002575,0.0002575,0.0002575
77,49.6917,1.51912,1.92584,0.90416,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002476,0.0002476,0.0002476
78,50.3063,1.31448,1.66401,0.83276,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002377,0.0002377,0.0002377
79,50.9468,1.64531,2.46279,0.85984,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002278,0.0002278,0.0002278
80,51.619,1.48247,2.4161,0.92527,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0002179,0.0002179,0.0002179
81,52.2537,1.43673,2.08855,0.84605,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.000208,0.000208,0.000208
82,52.8887,1.43125,1.96874,0.84677,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001981,0.0001981,0.0001981
83,53.504,1.43418,2.13433,0.86434,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001882,0.0001882,0.0001882
84,54.2095,1.26599,2.06971,0.88762,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001783,0.0001783,0.0001783
85,54.855,1.45597,2.18765,0.8569,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001684,0.0001684,0.0001684
86,55.5088,1.42862,2.16158,0.86101,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001585,0.0001585,0.0001585
