epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.637032,1.55849,4.51723,1.12716,0,0,0,0,1.56687,4.40919,0.87068,2e-05,2e-05,2e-05
2,1.37489,1.81867,4.53282,1.04059,0,0,0,0,1.5313,4.40635,0.86702,4.835e-05,4.835e-05,4.835e-05
3,2.02791,1.62375,4.48672,1.1093,0,0,0,0,1.44212,4.39944,0.86128,7.472e-05,7.472e-05,7.472e-05
4,2.66094,1.71636,4.43323,1.09598,0.0011,0.01042,0.00177,0.00089,1.32411,4.3827,0.85324,9.911e-05,9.911e-05,9.911e-05
5,3.24095,1.61865,4.38707,0.96314,0.0011,0.01042,0.00177,0.00089,1.32411,4.3827,0.85324,0.00012152,0.00012152,0.00012152
6,3.88967,1.57356,4.3851,0.98847,0.0011,0.01042,0.00427,0.00214,1.28376,4.37037,0.84465,0.00014195,0.00014195,0.00014195
7,4.5148,1.73685,4.36682,0.93463,0.0011,0.01042,0.00427,0.00214,1.28376,4.37037,0.84465,0.0001604,0.0001604,0.0001604
8,5.1901,1.4946,4.33449,0.97967,0.0011,0.01042,0.00427,0.00214,1.28376,4.37037,0.84465,0.00017687,0.00017687,0.00017687
9,5.87275,1.36244,4.20314,0.99096,0,0,0,0,1.45352,4.33058,0.83859,0.00019136,0.00019136,0.00019136
10,6.49848,1.6133,4.28448,0.94401,0,0,0,0,1.45352,4.33058,0.83859,0.00020387,0.00020387,0.00020387
11,7.131,1.49018,4.06136,1.00972,0,0,0,0,1.45352,4.33058,0.83859,0.0002144,0.0002144,0.0002144
12,7.78929,1.35091,4.17966,0.9499,0,0,0,0,1.45352,4.33058,0.83859,0.00022295,0.00022295,0.00022295
13,8.44967,1.55153,4.10329,0.94088,0,0,0,0,1.62535,4.27461,0.84209,0.00022952,0.00022952,0.00022952
14,9.07569,1.52496,3.93523,0.92355,0,0,0,0,1.62535,4.27461,0.84209,0.00023411,0.00023411,0.00023411
15,9.70759,1.43573,3.97134,0.9473,0,0,0,0,1.62535,4.27461,0.84209,0.00023672,0.00023672,0.00023672
16,10.352,1.60657,3.96198,0.90107,0,0,0,0,1.62535,4.27461,0.84209,0.00023735,0.00023735,0.00023735
17,10.9931,1.55394,4.07211,0.91791,0,0,0,0,1.62535,4.27461,0.84209,0.000236,0.000236,0.000236
18,11.6607,1.64393,4.07912,0.92442,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00023267,0.00023267,0.00023267
19,12.307,1.53846,3.76937,0.9172,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00022736,0.00022736,0.00022736
20,12.957,1.64688,3.98079,0.87637,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00022007,0.00022007,0.00022007
21,13.6197,1.31367,3.5985,0.87643,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.0002108,0.0002108,0.0002108
22,14.2974,1.40489,3.60089,0.90305,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00019955,0.00019955,0.00019955
23,15.0731,1.41443,3.74671,0.90032,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00018632,0.00018632,0.00018632
24,15.724,1.34785,3.73742,0.86536,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00017111,0.00017111,0.00017111
25,16.3684,1.83006,3.81985,0.90842,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00015392,0.00015392,0.00015392
26,17.0076,1.35995,3.60118,0.90042,0.01379,0.08333,0.0092,0.0071,1.52456,4.17043,0.8311,0.00013475,0.00013475,0.00013475
27,17.6659,1.75943,3.66821,0.87303,0.02124,0.32292,0.06738,0.03593,1.4757,4.01722,0.82162,0.0001136,0.0001136,0.0001136
28,18.3096,1.3286,3.45576,0.85119,0.02124,0.32292,0.06738,0.03593,1.4757,4.01722,0.82162,9.047e-05,9.047e-05,9.047e-05
29,18.9211,1.35213,3.58146,0.83996,0.02124,0.32292,0.06738,0.03593,1.4757,4.01722,0.82162,6.536e-05,6.536e-05,6.536e-05
30,19.5392,1.33615,3.53793,0.86274,0.02124,0.32292,0.06738,0.03593,1.4757,4.01722,0.82162,3.827e-05,3.827e-05,3.827e-05
