epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,0.674263,1.55849,4.51723,1.12716,0,0,0,0,1.55926,4.3871,0.90262,2e-05,2e-05,2e-05
2,1.49281,1.56553,4.50968,0.97979,0,0,0,0,1.51731,4.38286,0.89817,4.9505e-05,4.9505e-05,4.9505e-05
3,2.25009,1.80211,4.44674,1.05898,0,0,0,0,1.39844,4.37276,0.88819,7.8416e-05,7.8416e-05,7.8416e-05
4,2.99952,1.59863,4.42142,1.04299,0.00092,0.00926,0.00154,0.00108,1.24237,4.35889,0.87431,0.000106733,0.000106733,0.000106733
5,3.80169,1.75649,4.42053,1.0143,0.00092,0.00926,0.00154,0.00108,1.24237,4.35889,0.87431,0.000134456,0.000134456,0.000134456
6,4.52758,1.99101,4.35646,1.01397,0.00095,0.00926,0.00483,0.00387,1.24217,4.33499,0.86129,0.000161585,0.000161585,0.000161585
7,5.22198,1.4172,4.28252,0.95355,0.00095,0.00926,0.00483,0.00387,1.24217,4.33499,0.86129,0.00018812,0.00018812,0.00018812
8,5.91283,1.4506,4.24784,0.9938,0.00095,0.00926,0.00483,0.00387,1.24217,4.33499,0.86129,0.000214061,0.000214061,0.000214061
9,6.76592,1.4507,4.18623,0.93816,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.000239408,0.000239408,0.000239408
10,7.4534,1.44003,4.17289,0.92898,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.000264161,0.000264161,0.000264161
11,8.15043,1.43784,4.06227,0.9007,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.00028832,0.00028832,0.00028832
12,8.8637,1.71868,4.20766,0.93142,0.00096,0.00926,0.00484,0.0029,1.44996,4.29436,0.85776,0.000311885,0.000311885,0.000311885
13,9.58346,1.72723,3.95792,0.98147,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000334856,0.000334856,0.000334856
14,10.2487,1.57302,3.83758,0.95351,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000357233,0.000357233,0.000357233
15,10.9216,1.56517,3.83677,0.93162,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000379016,0.000379016,0.000379016
16,11.6191,1.77118,3.88193,0.89378,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.000400205,0.000400205,0.000400205
17,12.3057,1.75829,3.97874,0.90836,0.00128,0.00926,0.00066,0.00053,1.53098,4.18413,0.85012,0.0004208,0.0004208,0.0004208
18,13.0718,1.63225,3.95564,0.91365,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000440801,0.000440801,0.000440801
19,13.7748,1.66798,3.36502,0.88959,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000460208,0.000460208,0.000460208
20,14.4576,1.64266,3.69515,0.871,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000479021,0.000479021,0.000479021
21,15.1273,1.53105,3.49018,0.93749,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.00049724,0.00049724,0.00049724
22,15.8026,1.4882,3.49912,0.87405,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000514865,0.000514865,0.000514865
23,16.4856,1.49771,3.53571,0.87046,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000531896,0.000531896,0.000531896
24,17.2002,1.45358,3.65189,0.87732,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000548333,0.000548333,0.000548333
25,17.898,1.5344,3.66941,0.87504,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000564176,0.000564176,0.000564176
26,18.5725,1.36195,3.23747,0.91879,0.03129,0.46852,0.16088,0.12528,1.39566,4.01528,0.84947,0.000579425,0.000579425,0.000579425
27,19.2853,1.38271,3.02434,0.87021,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.00059408,0.00059408,0.00059408
28,20.0075,1.54163,3.03103,0.8609,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000608141,0.000608141,0.000608141
29,20.6785,1.57598,3.13333,0.88942,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000621608,0.000621608,0.000621608
30,21.4315,1.39762,3.01178,0.90028,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000634481,0.000634481,0.000634481
31,22.1264,1.33866,3.16974,0.8578,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.00064676,0.00064676,0.00064676
32,22.8446,1.68224,3.04448,0.86964,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000658445,0.000658445,0.000658445
33,23.5291,1.60873,3.06525,0.88362,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.000669536,0.000669536,0.000669536
34,24.2155,1.49479,3.11297,0.86661,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.0006733,0.0006733,0.0006733
35,24.9686,1.53327,3.17656,0.90737,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.0006634,0.0006634,0.0006634
36,25.6561,1.4698,2.99744,0.86599,0.81149,0.16629,0.35345,0.26117,1.34114,3.61658,0.84046,0.0006535,0.0006535,0.0006535
37,26.3714,1.23325,3.13707,0.84958,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006436,0.0006436,0.0006436
38,27.0863,1.81037,2.91943,0.91626,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006337,0.0006337,0.0006337
39,27.7781,1.84527,2.71501,0.85838,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006238,0.0006238,0.0006238
40,28.4841,1.42446,2.43951,0.88295,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0006139,0.0006139,0.0006139
41,29.1577,1.33902,2.42502,0.84851,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.000604,0.000604,0.000604
42,29.8496,1.52191,2.46704,0.90276,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005941,0.0005941,0.0005941
43,30.5456,1.67009,2.66945,0.88446,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005842,0.0005842,0.0005842
44,31.209,1.81048,2.67968,0.88386,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005743,0.0005743,0.0005743
45,31.8858,1.52658,2.52441,0.86846,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005644,0.0005644,0.0005644
46,32.5592,1.44136,2.45224,0.87461,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005545,0.0005545,0.0005545
47,33.2381,1.50152,2.29882,0.88899,0.80383,0.37893,0.49787,0.31613,1.5888,2.71509,0.84194,0.0005446,0.0005446,0.0005446
48,33.9526,1.60382,2.88949,0.88484,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0005347,0.0005347,0.0005347
49,34.6646,1.79314,2.72975,0.86136,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0005248,0.0005248,0.0005248
50,35.4539,1.25292,2.36102,0.86548,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0005149,0.0005149,0.0005149
51,36.1407,1.38007,2.33141,0.87349,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.000505,0.000505,0.000505
52,36.8279,1.97733,2.23151,0.86579,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004951,0.0004951,0.0004951
53,37.5271,1.47328,2.06975,0.88141,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004852,0.0004852,0.0004852
54,38.2122,1.41911,2.47846,0.91259,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004753,0.0004753,0.0004753
55,38.8973,1.63721,2.56869,0.85358,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004654,0.0004654,0.0004654
56,39.649,1.60186,2.512,0.8609,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004555,0.0004555,0.0004555
57,40.3352,1.47598,2.33557,0.85458,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004456,0.0004456,0.0004456
58,41.0119,1.76813,2.81147,0.8734,0.38061,0.5853,0.5192,0.33813,1.45391,2.12011,0.82923,0.0004357,0.0004357,0.0004357
59,41.7345,1.35768,2.37825,0.8687,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0004258,0.0004258,0.0004258
60,42.4237,1.58793,2.65112,0.82192,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0004159,0.0004159,0.0004159
61,43.129,1.33325,2.18736,0.87386,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.000406,0.000406,0.000406
62,43.8138,1.30783,2.20748,0.86493,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003961,0.0003961,0.0003961
63,44.5159,1.58089,2.52769,0.85096,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003862,0.0003862,0.0003862
64,45.1903,1.66371,2.74595,0.88533,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003763,0.0003763,0.0003763
65,45.8681,1.52162,2.08167,0.85139,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003664,0.0003664,0.0003664
66,46.5367,1.77251,2.72019,0.83975,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003565,0.0003565,0.0003565
67,47.2418,1.46386,1.94638,0.83882,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003466,0.0003466,0.0003466
68,48.0497,1.59644,2.19589,0.85858,0.75294,0.44049,0.54592,0.3933,1.32075,1.95566,0.82202,0.0003367,0.0003367,0.0003367
69,48.7606,1.29303,2.41755,0.83536,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0003268,0.0003268,0.0003268
70,49.4458,1.52767,2.21999,0.86928,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0003169,0.0003169,0.0003169
71,50.1345,1.63551,1.95046,0.91255,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.000307,0.000307,0.000307
72,50.8261,1.5576,2.55036,0.91959,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002971,0.0002971,0.0002971
73,51.5167,1.40933,2.54815,0.87026,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002872,0.0002872,0.0002872
74,52.1986,1.85464,1.98983,0.86896,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002773,0.0002773,0.0002773
75,52.884,1.31584,2.07275,0.8384,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002674,0.0002674,0.0002674
76,53.5811,1.43559,2.10555,0.86165,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002575,0.0002575,0.0002575
77,54.2746,1.51912,1.92584,0.90416,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002476,0.0002476,0.0002476
78,54.9603,1.31448,1.66401,0.83276,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002377,0.0002377,0.0002377
79,55.6776,1.64531,2.46279,0.85984,0.85633,0.41539,0.56267,0.42532,1.29682,1.91728,0.81998,0.0002278,0.0002278,0.0002278
80,56.4438,1.48247,2.4161,0.92527,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0002179,0.0002179,0.0002179
81,57.1422,1.43673,2.08855,0.84605,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.000208,0.000208,0.000208
82,57.8271,1.43125,1.96874,0.84677,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001981,0.0001981,0.0001981
83,58.5296,1.43418,2.13433,0.86434,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001882,0.0001882,0.0001882
84,59.1887,1.26599,2.06971,0.88762,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001783,0.0001783,0.0001783
85,59.8905,1.45597,2.18765,0.8569,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001684,0.0001684,0.0001684
86,60.5788,1.42862,2.16158,0.86101,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001585,0.0001585,0.0001585
87,61.4205,1.23443,1.8112,0.83689,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001486,0.0001486,0.0001486
88,62.1046,1.39684,2.50964,0.82979,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001387,0.0001387,0.0001387
89,62.8075,1.60726,2.04583,0.8976,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001288,0.0001288,0.0001288
90,63.5793,1.5199,2.44131,0.87705,0.76063,0.51563,0.60276,0.45393,1.32227,1.87822,0.82151,0.0001189,0.0001189,0.0001189
91,64.332,1.19633,1.57905,0.86543,0.75862,0.53247,0.61714,0.47049,1.27461,1.85465,0.82329,0.000109,0.000109,0.000109
92,65.0019,1.23822,1.7275,0.8528,0.75862,0.53247,0.61714,0.47049,1.27461,1.85465,0.82329,9.91e-05,9.91e-05,9.91e-05
93,65.6883,1.11944,1.67096,0.83907,0.75862,0.53247,0.61714,0.47049,1.27461,1.85465,0.82329,8.92e-05,8.92e-05,8.92e-05
94,66.3676,1.38103,1.75492,0.88481,0.75862,0.53247,0.61714,0.47049,1.27461,1.85465,0.82329,7.93e-05,7.93e-05,7.93e-05
95,67.0608,1.31534,1.91565,0.90173,0.75862,0.53247,0.61714,0.47049,1.27461,1.85465,0.82329,6.94e-05,6.94e-05,6.94e-05
96,67.73,1.74916,1.98255,0.83112,0.75862,0.53247,0.61714,0.47049,1.27461,1.85465,0.82329,5.95e-05,5.95e-05,5.95e-05
